state,year,p_unweighted,p_weighted,gap_unweighted,gap_weighted,d_p,d_gap
AL,2018,0.310939,0.293274,0.195681,0.176776,-0.017665,-0.018905
AL,2022,0.378742,0.361021,0.186063,0.190842,-0.017722,0.004779
OH,2018,0.33968,0.32952,0.164827,0.158386,-0.010159,-0.00644
OH,2019,0.359135,0.344677,0.171189,0.159826,-0.014458,-0.011363
OH,2022,0.41575,0.404559,0.169785,0.162216,-0.011191,-0.007569
SC,2018,0.307086,0.284291,0.152353,0.130292,-0.022796,-0.022061
SC,2022,0.376091,0.36171,0.172437,0.166885,-0.014381,-0.005552
NV,2014,0.285543,0.258612,0.130265,0.128081,-0.026931,-0.002184
NV,2019,0.351525,0.320673,0.120131,0.121088,-0.030853,0.000957
NV,2022,0.41263,0.382679,0.124609,0.121376,-0.02995,-0.003232
MN,2018,0.372328,0.380035,0.171688,0.156004,0.007707,-0.015684
CO,2018,0.414361,0.385258,0.154415,0.144594,-0.029104,-0.009821
FL,2018,0.331322,0.287139,0.13979,0.116009,-0.044182,-0.023781
PA,2018,0.356986,0.357059,0.166213,0.153228,7.3e-05,-0.012985
