figure,what,arms,populations,sources
9 of 10,"re-seal, unrefined rule",10,10,1
4 of 8,"seal 1, refined rule",8,8,1
13 of 14,third direction cohort,14,14,1
8 of 8,sealed lending cohort,8,5,1
8 of 10,race cohort S1,10,2,2
21 of 22,"effect-size split, above 1 pt",22,19,2
11 of 18,"effect-size split, below 1 pt",18,15,2
29 of 52,audit verdict distribution,52,36,5
150 arms,relaxed-zeta correspondence,150,67,8
18 of 19,"zeta head-to-head, sealed",19,19,2
78% of 50,landscape survey,50,48,1
50 states,"lending coverage, all markets",70,42,1
